17日,-1,-1,1,名詞,一般,*,*,*,*,17日,ジュウシチニチ,ジュウシチニチ,じゅうしちにち
18,-1,-1,1,名詞,一般,*,*,*,*,18,ジュウハチ,ジュウハチ,じゅうはち
18日,-1,-1,1,名詞,一般,*,*,*,*,18日,ジュウハチニチ,ジュウハチニチ,じゅうはちにち
1960,-1,-1,1,名詞,一般,*,*,*,*,1960,センキュウヒャクロクジュウ,センキュウヒャクロクジュウ,せんきゅうひゃくろくじゅう
1960年,-1,-1,1,名詞,一般,*,*,*,*,1960年,センキュウヒャクロクジュウネン,センキュウヒャクロクジュウネン,せんきゅうひゃくろくじゅうねん
1963年,-1,-1,1,名詞,一般,*,*,*,*,1963年,センキュウヒャクロクジュウサンネン,センキュウヒャクロクジュウサンネン,せんきゅうひゃくろくじゅうさんねん
1993年,-1,-1,1,名詞,一般,*,*,*,*,1993年,センキュウヒャクキュウジュウサンネン,センキュウヒャクキュウジュウサンネン,せんきゅうひゃくきゅうじゅうさんねん
1998年,-1,-1,1,名詞,一般,*,*,*,*,1998年,センキュウヒャクキュウジュウハチネン,センキュウヒャクキュウジュウハチネン,せんきゅうひゃくきゅうじゅうはちねん
1999年,-1,-1,1,名詞,一般,*,*,*,*,1999年,センキュウヒャクキュウジュウキュウネン,センキュウヒャクキュウジュウキュウネン,せんきゅうひゃくきゅうじゅうきゅうねん
199X年,-1,-1,1,名詞,一般,*,*,*,*,199X年,センキュウヒャクキュウジュウエクスネン,センキュウヒャクキュウジュウエクスネン,せんきゅうひゃくきゅうじゅうエクスねん
19日,-1,-1,1,名詞,一般,*,*,*,*,19日,ジュウクニチ,ジュウクニチ,じゅうくにち
1F,-1,-1,1,名詞,一般,*,*,*,*,1F,イッカイ,イッカイ,いっかい
1h,-1,-1,1,名詞,一般,*,*,*,*,1h,イチエッチ,イチエッチ,いちエッチ
1か月,-1,-1,1,名詞,一般,*,*,*,*,1か月,イッカゲツ,イッカゲツ,いっかげつ
1つ,-1,-1,1,名詞,一般,*,*,*,*,1つ,ヒトツ,ヒトツ,ひとつ
1ばん,-1,-1,1,名詞,一般,*,*,*,*,1ばん,イチバン,イチバン,いちばん
1ぴき,-1,-1,1,名詞,一般,*,*,*,*,1ぴき,イッピキ,イッピキ,いっぴき
1キロ,-1,-1,1,名詞,一般,*,*,*,*,1キロ,イチキロ,イチキロ,いちキロ
1コ,-1,-1,1,名詞,一般,*,*,*,*,1コ,イッコ,イッコ,いっこ
1ヶ月,-1,-1,1,名詞,一般,*,*,*,*,1ヶ月,イッカゲツ,イッカゲツ,いっかげつ
1万2千円,-1,-1,1,名詞,一般,*,*,*,*,1万2千円,イチマンニセンエン,イチマンニセンエン,いちまんにせんえん
1万人,-1,-1,1,名詞,一般,*,*,*,*,1万人,イチマンニン,イチマンニン,いちまんにん
